-3.115 3 -11.385
-3.11 2.994 -11.325
-3.105 2.988 -11.265
-3.1 2.982 -11.205
-3.095 2.9759 -11.145
-3.09 2.9699 -11.085
-3.085 2.9638 -11.025
-3.08 2.9578 -10.965
-3.075 2.9517 -10.905
-3.07 2.9456 -10.845
-3.065 2.9395 -10.785
-3.06 2.9334 -10.725
-3.055 2.9273 -10.665
-3.05 2.9212 -10.605
-3.045 2.915 -10.545
-3.04 2.9089 -10.485
-3.035 2.9027 -10.425
-3.03 2.8966 -10.365
-3.025 2.8904 -10.305
-3.02 2.8842 -10.245
-3.015 2.878 -10.185
-3.01 2.8718 -10.125
-3.005 2.8656 -10.065
-3 2.8594 -10.005
-2.995 2.8532 -9.945
-2.99 2.8469 -9.8849
-2.985 2.8407 -9.8249
-2.98 2.8344 -9.7649
-2.975 2.8281 -9.7049
-2.97 2.8219 -9.6449
-2.965 2.8156 -9.5849
-2.96 2.8093 -9.5249
-2.955 2.803 -9.4649
-2.95 2.7967 -9.4049
-2.945 2.7903 -9.3449
-2.94 2.784 -9.2849
-2.935 2.7776 -9.2249
-2.93 2.7713 -9.1649
-2.925 2.7649 -9.1049
-2.92 2.7585 -9.0449
-2.915 2.7521 -8.9849
-2.91 2.7457 -8.9249
-2.905 2.7393 -8.8649
-2.9 2.7329 -8.8049
-2.895 2.7265 -8.7449
-2.89 2.7201 -8.6849
-2.885 2.7136 -8.6249
-2.88 2.7072 -8.5649
-2.875 2.7007 -8.5049
-2.87 2.6942 -8.4449
-2.865 2.6877 -8.3849
-2.86 2.6812 -8.3249
-2.855 2.6747 -8.2649
-2.85 2.6682 -8.2049
-2.845 2.6617 -8.1449
-2.84 2.6552 -8.0849
-2.835 2.6486 -8.0249
-2.83 2.6421 -7.9649
-2.825 2.6355 -7.9049
-2.82 2.6289 -7.8449
-2.815 2.6223 -7.7849
-2.81 2.6157 -7.7249
-2.805 2.6091 -7.6649
-2.8 2.6025 -7.6049
-2.795 2.5959 -7.5449
-2.79 2.5893 -7.4849
-2.785 2.5826 -7.4249
-2.78 2.576 -7.3649
-2.775 2.5693 -7.3049
-2.77 2.5626 -7.2449
-2.765 2.5559 -7.1849
-2.76 2.5493 -7.1249
-2.755 2.5426 -7.0649
-2.75 2.5358 -7.0049
-2.745 2.5291 -6.9449
-2.74 2.5224 -6.8848
-2.735 2.5157 -6.8248
-2.73 2.5089 -6.7648
-2.725 2.5021 -6.7048
-2.72 2.4954 -6.6448
-2.715 2.4886 -6.5848
-2.71 2.4818 -6.5248
-2.705 2.475 -6.4648
-2.7 2.4682 -6.4048
-2.695 2.4614 -6.3448
-2.69 2.4545 -6.2848
-2.685 2.4477 -6.2248
-2.68 2.4409 -6.1648
-2.675 2.434 -6.1048
-2.67 2.4271 -6.0448
-2.665 2.4202 -5.9848
-2.66 2.4134 -5.9248
-2.655 2.4065 -5.8648
-2.65 2.3996 -5.8048
-2.645 2.3926 -5.7448
-2.64 2.3857 -5.6848
-2.635 2.3788 -5.6248
-2.63 2.3718 -5.5648
-2.625 2.3649 -5.5048
-2.62 2.3579 -5.4448
-2.615 2.3509 -5.3848
-2.61 2.3439 -5.3248
-2.605 2.3369 -5.2648
-2.6 2.3299 -5.2048
-2.595 2.3229 -5.1448
-2.59 2.3159 -5.0848
-2.585 2.3089 -5.0248
-2.58 2.3018 -4.9648
-2.575 2.2948 -4.9048
-2.57 2.2877 -4.8448
-2.565 2.2806 -4.7848
-2.56 2.2735 -4.7248
-2.555 2.2664 -4.6648
-2.55 2.2593 -4.6048
-2.545 2.2522 -4.5448
-2.54 2.2451 -4.4848
-2.535 2.238 -4.4248
-2.53 2.2308 -4.3648
-2.525 2.2237 -4.3048
-2.52 2.2165 -4.2448
-2.515 2.2093 -4.1848
-2.51 2.2022 -4.1248
-2.505 2.195 -4.0648
-2.5 2.1878 -4.0048
-2.495 2.1806 -3.9448
-2.49 2.1733 -3.8847
-2.485 2.1661 -3.8247
-2.48 2.1589 -3.7647
-2.475 2.1516 -3.7047
-2.47 2.1443 -3.6447
-2.465 2.1371 -3.5847
-2.46 2.1298 -3.5247
-2.455 2.1225 -3.4647
-2.45 2.1152 -3.4047
-2.445 2.1079 -3.3447
-2.44 2.1006 -3.2847
-2.435 2.0932 -3.2247
-2.43 2.0859 -3.1647
-2.425 2.0786 -3.1047
-2.42 2.0712 -3.0447
-2.415 2.0638 -2.9847
-2.41 2.0564 -2.9247
-2.405 2.0491 -2.8647
-2.4 2.0417 -2.8047
-2.395 2.0343 -2.7447
-2.39 2.0268 -2.6847
-2.385 2.0194 -2.6247
-2.38 2.012 -2.5647
-2.375 2.0045 -2.5047
-2.37 1.9971 -2.4447
-2.365 1.9896 -2.3847
-2.36 1.9821 -2.3247
-2.355 1.9746 -2.2647
-2.35 1.9671 -2.2047
-2.345 1.9596 -2.1447
-2.34 1.9521 -2.0847
-2.335 1.9446 -2.0247
-2.33 1.9371 -1.9647
-2.325 1.9295 -1.9047
-2.32 1.922 -1.8447
-2.315 1.9144 -1.7847
-2.31 1.9068 -1.7247
-2.305 1.8992 -1.6647
-2.3 1.8916 -1.6047
-2.295 1.884 -1.5447
-2.29 1.8764 -1.4847
-2.285 1.8688 -1.4247
-2.28 1.8612 -1.3647
-2.275 1.8535 -1.3047
-2.27 1.8459 -1.2447
-2.265 1.8382 -1.1847
-2.26 1.8305 -1.1247
-2.255 1.8228 -1.0647
-2.25 1.8152 -1.0047
-2.245 1.8075 -0.9447
-2.24 1.7997 -0.8846
-2.235 1.792 -0.8246
